No,Kode/Nama Perusahaan,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
1,AALI,Astra Agro Lestari Tbk.,1997-12-09,1.924.688.333,Utama
2,ABBA,Mahaka Media Tbk.,2002-04-03,2.755.125.000,Pengembangan
3,ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,620.806.680,Pengembangan
4,ABMM,ABM Investama Tbk.,2011-12-06,2.753.165.000,Utama
5,ACES,Ace Hardware Indonesia Tbk.,2007-11-06,17.150.000.000,Utama
6,ACST,Acset Indonusa Tbk.,2013-06-24,700.000.000,Utama
7,ADES,Akasha Wira International Tbk.,1994-06-13,589.896.800,Pengembangan
8,ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,3.560.849.376,Utama
9,ADMF,Adira Dinamika Multi Finance T,2004-03-31,1.000.000.000,Utama
10,ADMG,Polychem Indonesia Tbk,1993-10-20,3.889.179.559,Utama
11,ADRO,Adaro Energy Tbk.,2008-07-16,31.985.962.000,Utama
12,AGAR,Asia Sejahtera Mina Tbk.,2019-12-02,1.000.000.000,Pengembangan
13,AGII,Aneka Gas Industri Tbk.,2016-09-28,3.066.660.000,Utama
14,AGRO,Bank Rakyat Indonesia Agroniag,2003-08-08,21.129.857.328,Utama
15,AGRS,Bank IBK Indonesia Tbk.,2014-12-22,11.154.923.542,Pengembangan
16,AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14,2.940.000.000,Pengembangan
17,AIMS,Akbar Indo Makmur Stimec Tbk,2001-07-20,220.000.000,Pengembangan
18,AISA,Tiga Pilar Sejahtera Food Tbk.,1997-06-11,4.787.500.000,Utama
19,AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01,6.449.463.636,Pengembangan
20,AKPI,Argha Karya Prima Industry Tbk,1992-12-18,680.000.000,Pengembangan
21,AKRA,AKR Corporindo Tbk.,1994-10-03,4.014.694.920,Utama
22,AKSI,Maming Enam Sembilan Mineral T,2001-07-13,720.000.000,Pengembangan
23,ALDO,Alkindo Naratama Tbk.,2011-07-12,1.100.000.000,Pengembangan
24,ALKA,Alakasa Industrindo Tbk,1990-07-12,507.665.055,Pengembangan
25,ALMI,Alumindo Light Metal Industry ,1997-01-02,616.000.000,Pengembangan
26,ALTO,Tri Banyan Tirta Tbk.,2012-07-10,2.191.870.558,Utama
27,AMAG,Asuransi Multi Artha Guna Tbk.,2005-12-23,5.001.552.516,Pengembangan
28,AMAN,Makmur Berkah Amanda Tbk.,2020-03-13,3.873.500.000,Utama
29,AMAR,Bank Amar Indonesia Tbk.,2020-01-09,7.954.749.000,Pengembangan
30,AMFG,Asahimas Flat Glass Tbk.,1995-11-08,434.000.000,Utama
31,AMIN,Ateliers Mecaniques D Indonesi,2015-12-10,1.080.000.000,Pengembangan
32,AMOR,Ashmore Asset Management Indon,2020-01-14,1.111.111.200,Pengembangan
33,AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15,41.524.501.700,Utama
34,ANDI,Andira Agro Tbk.,2018-08-16,9.350.000.000,Pengembangan
35,ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08,3.354.175.000,Utama
36,ANTM,Aneka Tambang Tbk.,1997-11-27,24.030.764.725,Utama
37,APEX,Apexindo Pratama Duta Tbk.,2002-07-10,2.659.850.000,Pengembangan
38,APIC,Pacific Strategic Financial Tb,2002-12-18,11.766.313.488,Pengembangan
